id; status_code; invoice_number;item_category; channel; order_date; delivery_date; amount
1;11;81181011498; Category_02; WEB;02-05-2021 23:53;07-05-2021 22:06;150
2;11;81181011537; Category_03; WEB;02-05-2021 23:56;08-05-2021 9:12;79,21
3;11;811810115410; Category_01; WEB;02-05-2021 23:56;10-05-2021 12:34;90,34
4;11;81181011536; Category_02; WEB;02-05-2021 23:57;08-05-2021 23:32;132,21
5;3;811810115518; Category_03; WEB;02-05-2021 23:57;;0
6;11;811810115511; Category_03; WEB;02-05-2021 23:58;09-05-2021 21:56;124,01
7;11;81181011549; Category_01; WEB;02-05-2021 23:58;10-05-2021 18:10;90,16
8;11;811810115888; Category_02; WEB;03-05-2021 0:00;08-05-2021 0:38;149,53
9;11;811810115717; Category_01; WEB;03-05-2021 0:00;08-05-2021 7:57;96,28
